city,age,gender
srinagar,2,M
srinagar,1,M
srinagar,8,M
srinagar,10,M
srinagar,12,M
srinagar,17,M
srinagar,21,M
srinagar,22,M
srinagar,25,M
srinagar,30,M
srinagar,32,M
srinagar,37,F
srinagar,50,M
srinagar,55,M
srinagar,58,F
srinagar,60,F
srinagar,67,F
srinagar,72,M
srinagar,75,F
srinagar,82,F
srinagar,83,F
anantnag,3,M
anantnag,3,F
anantnag,6,F
anantnag,12,M
anantnag,11,F
anantnag,16,F
anantnag,23,M
anantnag,28,F
anantnag,26,F
anantnag,33,F
anantnag,37,F
anantnag,35,F
anantnag,41,M
anantnag,48,M
anantnag,52,F
anantnag,52,M
anantnag,57,F
anantnag,62,M
anantnag,63,M
anantnag,67,F
anantnag,68,F
anantnag,72,F
anantnag,78,F
anantnag,89,F
anantnag,89,F
jammu,3,M
jammu,1,M
jammu,6,F
jammu,6,M
jammu,10,F
jammu,16,M
jammu,17,F
jammu,20,M
jammu,28,M
jammu,33,F
jammu,37,M
jammu,40,F
jammu,42,F
jammu,45,M
jammu,52,F
jammu,56,F
jammu,56,F
jammu,67,M
jammu,67,F
jammu,73,M
jammu,71,F
jammu,77,M
jammu,80,F
shimla,3,F
shimla,3,M
shimla,5,M
shimla,8,F
shimla,12,F
shimla,18,M
shimla,22,M
shimla,20,M
shimla,27,M
shimla,28,M
shimla,31,F
shimla,31,M
shimla,37,F
shimla,41,M
shimla,45,M
shimla,46,F
shimla,53,M
shimla,55,M
shimla,61,M
shimla,61,M
shimla,68,F
shimla,72,M
shimla,77,M
shimla,76,M
shimla,87,M
pathankot,3,M
pathankot,6,M
pathankot,11,M
pathankot,11,M
pathankot,17,M
pathankot,16,M
pathankot,20,F
pathankot,23,M
pathankot,27,M
pathankot,26,M
pathankot,32,M
pathankot,38,M
pathankot,38,F
pathankot,40,F
pathankot,43,F
pathankot,47,F
pathankot,53,M
pathankot,56,F
pathankot,60,F
pathankot,63,F
pathankot,68,M
pathankot,71,F
pathankot,73,F
pathankot,76,F
pathankot,80,F
pathankot,86,F
batala,1,F
batala,2,M
batala,6,M
batala,12,M
batala,10,F
batala,15,M
batala,23,M
batala,26,M
batala,27,F
batala,33,M
batala,31,F
batala,37,F
batala,42,M
batala,47,M
batala,45,M
batala,52,F
batala,55,M
batala,55,M
batala,61,F
batala,67,M
batala,71,F
batala,70,M
batala,77,M
batala,89,F
jalandhar,3,M
jalandhar,1,F
jalandhar,6,F
jalandhar,12,F
jalandhar,18,M
jalandhar,20,F
jalandhar,20,M
jalandhar,27,F
jalandhar,32,F
jalandhar,32,F
jalandhar,38,M
jalandhar,36,F
jalandhar,40,M
jalandhar,42,F
jalandhar,48,F
jalandhar,50,M
jalandhar,52,F
jalandhar,56,M
jalandhar,55,F
jalandhar,63,F
jalandhar,66,M
jalandhar,66,M
jalandhar,72,F
jalandhar,77,F
jalandhar,83,F
jalandhar,81,F
hoshiarpur,3,M
hoshiarpur,1,F
hoshiarpur,5,F
hoshiarpur,6,M
hoshiarpur,12,F
hoshiarpur,16,M
hoshiarpur,22,F
hoshiarpur,20,F
hoshiarpur,25,M
hoshiarpur,31,M
hoshiarpur,35,F
hoshiarpur,36,M
hoshiarpur,41,M
hoshiarpur,40,F
hoshiarpur,48,F
hoshiarpur,45,F
hoshiarpur,51,F
hoshiarpur,58,M
hoshiarpur,60,M
hoshiarpur,62,F
hoshiarpur,65,M
hoshiarpur,66,M
hoshiarpur,70,F
hoshiarpur,75,F
hoshiarpur,78,F
hoshiarpur,81,F
hoshiarpur,81,F
khanna,2,M
khanna,5,M
khanna,6,M
khanna,12,F
khanna,16,M
khanna,15,F
khanna,22,F
khanna,23,M
khanna,27,F
khanna,33,F
khanna,36,M
khanna,42,F
khanna,43,M
khanna,48,M
khanna,48,F
khanna,50,F
khanna,53,F
khanna,58,F
khanna,55,M
khanna,62,F
khanna,62,F
khanna,68,M
khanna,73,M
khanna,72,F
khanna,76,M
khanna,78,M
khanna,88,F
khanna,81,F
ludhiana,0,M
ludhiana,1,M
ludhiana,6,M
ludhiana,11,F
ludhiana,11,M
ludhiana,17,M
ludhiana,17,F
ludhiana,20,M
ludhiana,27,F
ludhiana,26,M
ludhiana,32,M
ludhiana,37,F
ludhiana,41,M
ludhiana,45,M
ludhiana,46,F
ludhiana,52,M
ludhiana,57,F
ludhiana,60,M
ludhiana,63,M
ludhiana,66,F
ludhiana,65,F
ludhiana,72,F
ludhiana,78,M
ludhiana,75,F
ludhiana,85,F
ludhiana,84,F
moga,1,M
moga,6,M
moga,13,F
moga,12,M
moga,18,F
moga,21,M
moga,28,M
moga,27,M
moga,32,F
moga,38,M
moga,36,F
moga,42,M
moga,40,M
moga,45,F
moga,50,F
moga,58,F
moga,57,F
moga,61,F
moga,61,F
moga,66,M
moga,72,M
moga,78,F
moga,78,F
moga,85,F
moga,85,F
firozpur,1,F
firozpur,2,M
firozpur,8,F
firozpur,12,F
firozpur,18,M
firozpur,17,F
firozpur,20,M
firozpur,22,M
firozpur,28,F
firozpur,30,M
firozpur,38,F
firozpur,41,M
firozpur,43,F
firozpur,46,M
firozpur,47,F
firozpur,53,M
firozpur,50,F
firozpur,55,M
firozpur,63,M
firozpur,67,M
firozpur,72,M
firozpur,72,M
firozpur,78,F
firozpur,82,F
firozpur,81,F
abohar,3,F
abohar,6,M
abohar,8,F
abohar,11,F
abohar,13,F
abohar,16,M
abohar,21,F
abohar,21,F
abohar,28,F
abohar,30,M
abohar,32,M
abohar,37,F
abohar,35,M
abohar,41,M
abohar,45,M
abohar,46,F
abohar,52,M
abohar,58,F
abohar,58,F
abohar,60,F
abohar,65,F
abohar,70,F
abohar,76,F
abohar,81,F
muktsar,2,F
muktsar,6,F
muktsar,5,M
muktsar,12,M
muktsar,16,F
muktsar,21,M
muktsar,25,F
muktsar,25,F
muktsar,33,M
muktsar,30,F
muktsar,38,F
muktsar,40,F
muktsar,45,M
muktsar,45,F
muktsar,52,F
muktsar,57,F
muktsar,55,F
muktsar,60,F
muktsar,61,F
muktsar,67,M
muktsar,71,F
muktsar,77,F
muktsar,87,F
bathinda,3,F
bathinda,7,F
bathinda,5,M
bathinda,10,M
bathinda,13,F
bathinda,15,M
bathinda,21,F
bathinda,20,M
bathinda,28,M
bathinda,26,F
bathinda,32,F
bathinda,35,F
bathinda,42,F
bathinda,43,F
bathinda,45,F
bathinda,51,M
bathinda,51,M
bathinda,55,F
bathinda,58,F
bathinda,63,M
bathinda,65,F
bathinda,73,F
bathinda,78,M
bathinda,75,F
bathinda,86,F
bathinda,86,F
patiala,1,F
patiala,3,F
patiala,7,M
patiala,12,F
patiala,10,M
patiala,15,F
patiala,15,M
patiala,21,F
patiala,20,M
patiala,27,M
patiala,27,F
patiala,32,F
patiala,30,F
patiala,35,M
patiala,38,M
patiala,42,M
patiala,42,M
patiala,45,F
patiala,47,F
patiala,51,F
patiala,51,M
patiala,55,M
patiala,55,M
patiala,60,M
patiala,68,M
patiala,73,F
patiala,70,F
patiala,76,F
patiala,86,F
patiala,88,F
amritsar,3,F
amritsar,3,M
amritsar,5,F
amritsar,6,M
amritsar,13,M
amritsar,15,M
amritsar,22,F
amritsar,28,F
amritsar,31,M
amritsar,38,F
amritsar,37,F
amritsar,43,M
amritsar,43,F
amritsar,48,F
amritsar,47,M
amritsar,53,M
amritsar,53,M
amritsar,56,M
amritsar,61,F
amritsar,62,M
amritsar,66,M
amritsar,71,F
amritsar,72,M
amritsar,77,M
amritsar,75,F
amritsar,88,M
amritsar,88,F
s.a.s. nagar,1,F
s.a.s. nagar,0,M
s.a.s. nagar,5,F
s.a.s. nagar,6,M
s.a.s. nagar,12,F
s.a.s. nagar,15,M
s.a.s. nagar,22,M
s.a.s. nagar,26,F
s.a.s. nagar,25,F
s.a.s. nagar,33,F
s.a.s. nagar,31,F
s.a.s. nagar,35,M
s.a.s. nagar,43,M
s.a.s. nagar,41,M
s.a.s. nagar,48,F
s.a.s. nagar,53,M
s.a.s. nagar,55,M
s.a.s. nagar,55,F
s.a.s. nagar,60,F
s.a.s. nagar,62,F
