days,india,nb,date, 
1,3,0,103,
2,6,0,203,
3,7,0,303,
4,29,0,403,
5,30,0,503,
6,31,0,603,
7,34,0,703,
8,40,0,803,
9,47,0,903,
10,62,0,1003,
11,62,0,1103,
12,74,0,1203,
13,82,0,1303,
14,100,0,1403,
15,114,0,1503,
16,129,0,1603,
17,143,0,1703,
18,169,0,1803,
19,194,0,1903,
20,249,0,2003,
21,332,0,2103,
22,396,0,2203,
23,499,0,2303,
24,536,0,2403,
25,657,0,2503,
26,727,0,2603,
27,887,0,2703,
28,987,0,2803,
29,1024,0,2903,
30,1251,0,3003,
31,1397,0,3103,
32,1998,0,104,
33,2543,0,204,
34,3059,0,304,
35,3588,0,404,
36,4289,0,504,
37,4778,0,604,
38,5351,0,704,
39,5916,0,804,
40,6725,0,904,
41,7600,0,1004,
42,8446,0,1104,
43,9205,0,1204,
44,10453,0,1304,
45,11487,0,1404,
,,12564,1504,
,,13777,1604,
,,15064,1704,
,,16429,1804,
,,17872,1904,
,,19398,2004,
,,21007,2104,
,,22702,2204,
,,24485,2304,
